Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d,drone_x,drone_y,drone_z
9412.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.02575,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.5346,5119.12,14.4698,7.96344,-11.5601,1149.16,751.096,916.26,1286.23,768003,4.8721e-13,270839,4.44867,87138.7,500,7.29646,13.2965,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
9812.32,0,1.97943,-9.84955,-0.887659,0,0,0,2.03131,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.5036,5116.02,14.3527,8.0124,-11.6668,1150.74,750.916,916.018,1285.85,768453,4.8721e-13,271250,5.11007,87151.6,500,7.29755,13.2976,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27716
10212.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02824,-10.0952,-0.820742,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.4684,5113.15,14.2432,8.05781,-11.7663,1149.45,750.712,915.744,1285.41,767888,4.8721e-13,270680,5.78913,87166.3,500,7.29695,13.2969,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
10612.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02769,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.4377,5110.25,14.1407,8.10113,-11.862,1149.02,750.532,915.502,1285.04,767634,4.8721e-13,270418,6.46878,87179.1,500,7.29684,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
11012.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02952,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.4102,5107.49,14.0449,8.14232,-11.9536,1149.4,750.372,915.287,1284.7,767678,4.8721e-13,270440,7.14236,87190.6,500,7.2972,13.2972,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
11412.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02188,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.3821,5104.89,13.9552,8.18092,-12.0399,1146.65,750.208,915.067,1284.35,766636,4.8721e-13,269415,7.83622,87202.3,500,7.2957,13.2957,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
11812.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02107,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.3616,5102.22,13.8713,8.2183,-12.124,1146.22,750.088,914.906,1284.1,766422,4.8721e-13,269192,8.51499,87210.9,500,7.29554,13.2955,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
12212.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02686,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.3415,5099.76,13.7927,8.25352,-12.2036,1147.96,749.971,914.749,1283.85,766970,4.8721e-13,269697,9.15545,87219.3,500,7.29668,13.2967,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
12612.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.03328,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.315,5097.56,13.7192,8.28553,-12.2763,1149.86,749.817,914.541,1283.52,767547,4.8721e-13,270230,9.75336,87230.4,500,7.29794,13.2979,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
13012.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02819,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.2844,5095.51,13.6502,8.31481,-12.3431,1147.94,749.638,914.301,1283.15,766775,4.8721e-13,269469,10.3608,87243.2,500,7.29694,13.2969,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
13412.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02549,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.2621,5093.33,13.5857,8.34346,-12.4089,1146.87,749.508,914.127,1282.87,766328,4.8721e-13,269026,10.9634,87252.5,500,7.2964,13.2964,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
14012.4,0,1.97943,-9.84955,-0.887659,0,0,0,2.02731,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.2446,5091.27,13.5253,8.37107,-12.4725,1147.32,749.406,913.99,1282.66,766433,4.8721e-13,269112,11.5413,87259.8,500,7.29676,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
14212.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02752,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.2257,5089.39,13.4687,8.39669,-12.5318,1147.24,749.296,913.842,1282.42,766345,4.8721e-13,269011,12.0975,87267.7,500,7.2968,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
14612.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02751,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.2072,5087.58,13.4158,8.4207,-12.5876,1147.09,749.188,913.697,1282.2,766232,4.8721e-13,268890,12.6315,87275.4,500,7.2968,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
15012.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02748,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.1899,5085.86,13.3661,8.44335,-12.6404,1146.94,749.088,913.562,1281.98,766125,4.8721e-13,268774,13.1458,87282.6,500,7.2968,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
15412.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02746,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.1738,5084.23,13.3197,8.46468,-12.6902,1146.8,748.993,913.435,1281.79,766026,4.8721e-13,268666,13.6395,87289.4,500,7.29679,13.2968,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
15812.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.03312,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.1585,5082.68,13.2761,8.48475,-12.7374,1148.54,748.905,913.316,1281.6,766580,4.8721e-13,269188,14.0859,87295.7,500,7.29791,13.2979,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
16212.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.03367,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.1395,5081.33,13.2353,8.50288,-12.78,1148.56,748.794,913.167,1281.36,766528,4.8721e-13,269124,14.5168,87303.7,500,7.29802,13.298,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
16612.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.02591,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.1221,5079.98,13.1971,8.51999,-12.8204,1145.87,748.693,913.031,1281.15,765683,4.8721e-13,268160,14.9697,87311,500,7.29649,13.2965,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
17012.3,0,1.97943,-9.84955,-0.887659,0,0,0,2.03081,-10.0952,-0.820745,10.0465,0,0,0,-0,1.5708,-0,1.5708,82.1139,5078.5,13.1613,8.5374,-12.8618,1147.41,748.644,912.966,1281.05,766044,4.8721e-13,268642,15.3747,87314.4,500,7.29745,13.2975,0,0,3.14159,0,-0,-3.14159,-1,480,180,360,-1,0,0,-2.27717
