Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
9241,0,1.97943,-9.84955,-0.887659,1.98917,-9.73441,-0.860978,1.98858,-9.73095,-0.862774,3.74339,0.000891105,0.0301842,-0.0093913,-0,1.5708,-0,1.5708,34.7815,5071.04,10.6292,2.17988,-2.38492,471.986,173.719,368.716,805.508,355.991,10.202,204.816,24.8683,0.143284,35,0.602907,6.60291,-3.62565e-05,-0.0179212,-3.13957,0,-0,-3.14159,-1,480,180,360,-1
9661,0,1.97943,-9.84955,-0.887659,1.99702,-9.73312,-0.850399,1.98962,-9.72725,-0.866301,3.94132,0.00570466,0.0213513,-0.000216548,-0,1.5708,-0,1.5708,35.0615,5182.57,10.9684,2.14997,-2.34449,475.495,181.606,368.206,786.188,164.282,6.86281,67.7628,18.3418,0.0113329,35,0.795647,6.79565,-2.42012e-05,-0.011962,-3.13957,0,-0,-3.14159,-1,480,180,360,-1
10091,0,1.97943,-9.84955,-0.887659,1.99299,-9.73541,-0.850646,1.99212,-9.73132,-0.85963,4.11327,0.00283005,0.0129476,0.00211921,-0,1.5708,-0,1.5708,35.3192,5265.71,11.3844,2.10526,-2.28823,480.056,186.406,365.823,767.716,50.3819,6.41411,0.749449,12.7379,0.305729,35,0.976638,6.97664,-2.2572e-05,-0.0111567,-3.13957,0,-0,-3.14159,-1,480,180,360,-1
10451,0,1.97943,-9.84955,-0.887659,1.98963,-9.72157,-0.845738,1.99095,-9.72099,-0.846805,4.28024,0.000755087,0.0185326,0.00626354,-0,1.5708,-0,1.5708,35.3192,5274.63,11.4697,2.09036,-2.27031,483.7,193.069,364.904,749.813,269.27,6.41411,171.325,8.80283,0.305729,35,1.15213,7.15213,-2.2572e-05,-0.0111567,-3.13957,0,-0,-3.14159,-1,480,180,360,-1
10851,0,1.97943,-9.84955,-0.887659,1.99146,-9.73458,-0.845224,1.99217,-9.72797,-0.845613,4.40236,0.00119503,0.00823134,0.00579616,-0,1.5708,-0,1.5708,36.5891,5109.05,11.667,2.19777,-2.40466,484.253,178.232,350.844,737.497,171.437,9.55473,84.2169,8.39238,7.57612,35,1.28167,7.28167,-2.34228e-06,-0.0168902,-3.14145,0,-0,-3.14159,-1,480,180,360,-1
11251,0,1.97943,-9.84955,-0.887659,1.99624,-9.73802,-0.871364,1.99715,-9.73556,-0.862891,4.47501,0.00392526,0.00116618,-0.00850239,-0,1.5708,-0,1.5708,36.5301,5082.55,11.885,2.15203,-2.35113,487.034,178.281,347.661,727.07,342.843,4.91438,251.241,6.32293,7.02325,35,1.35686,7.35686,6.14255e-07,-0.00868721,3.14152,0,-0,-3.14159,-1,480,180,360,-1
11640,0,1.97943,-9.84955,-0.887659,1.9977,-9.73709,-0.854789,1.99935,-9.73706,-0.858382,4.47789,0.004132,-6.44238e-05,-0.00292804,-0,1.5708,-0,1.5708,36.9187,5138.07,12.0214,2.17323,-2.37406,486.568,181.736,352.493,734.988,234.804,1.57582,142.652,6.4865,11.0445,35,1.36784,7.36784,2.69432e-06,-0.00258302,3.14055,0,-0,-3.14159,-1,480,180,360,-1
12161,0,1.97943,-9.84955,-0.887659,1.99823,-9.74535,-0.854224,1.99786,-9.74053,-0.84325,4.41836,0.00200117,-0.00506661,0.00185756,-0,1.5708,-0,1.5708,36.9966,5277.45,12.1598,2.16058,-2.35327,484.771,183.79,356.251,742.564,80.2986,0.779277,0.739425,6.83573,11.9598,35,1.3338,7.3338,8.95127e-07,-0.00079629,3.14047,0,-0,-3.14159,-1,480,180,360,-1
12461,0,1.97943,-9.84955,-0.887659,1.99303,-9.7443,-0.861967,1.99443,-9.74557,-0.859562,4.36657,-0.00130334,-0.00467229,-0.00509401,-0,1.5708,-0,1.5708,36.9966,5295.97,12.2121,2.15201,-2.34238,481.178,174.249,349.176,741.012,216.682,0.650824,117.524,7.73217,11.9598,35,1.27269,7.27269,2.75385e-07,-0.000244978,3.14047,0,-0,-3.14159,-1,480,180,360,-1
12851,0,1.97943,-9.84955,-0.887659,1.99427,-9.73838,-0.861858,1.99513,-9.73979,-0.865214,4.28627,-0.000911927,7.43667e-05,-0.00687242,-0,1.5708,-0,1.5708,36.3908,5128.29,12.3465,2.06044,-2.24047,478.283,176.374,352.234,746.159,125.608,2.70467,60.5048,7.74492,5.80285,35,1.18039,7.18039,-5.224e-06,0.0046472,3.14047,0,-0,-3.14159,-1,480,180,360,-1
