Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_roll,relative_pitch,relative_yaw,relative_roll_d,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
9655,0,1.97943,-9.84955,-0.887659,1.98914,-9.76724,-0.846779,1.99015,-9.76882,-0.847744,3.8278,-0.00307548,0.00975994,-0.000153916,-0,1.5708,-0,1.5708,36.3846,4693.08,10.8545,2.32041,-2.57504,471.638,176.267,372.429,811.832,153.678,2.7812,56.1321,24.7514,0.958556,35,0.74715,6.74715,-1.60826e-06,-0.00391167,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
10065,0,1.97943,-9.84955,-0.887659,1.99137,-9.77322,-0.834334,1.99121,-9.77475,-0.836623,3.58609,-0.00162473,0.00366559,0.00747562,-0,1.5708,-0,1.5708,32.6935,4312.75,11.4319,1.79354,-1.95625,467.697,165.765,352.885,772.035,267.589,11.0418,101.154,15.9805,2.65998,35,0.529398,6.5294,-6.41782e-06,-0.0156102,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
10457,0,1.97943,-9.84955,-0.887659,1.99165,-9.76467,-0.841856,1.99107,-9.76406,-0.839588,3.46593,-0.00115456,0.00946741,0.00322987,-0,1.5708,-0,1.5708,33.6683,4886.24,11.8943,1.83567,-1.9848,463.397,159.946,360.529,809.835,285.767,6.99626,169.453,20.8695,0.886752,35,0.391037,6.39104,-4.0644e-06,-0.00988571,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
10855,0,1.97943,-9.84955,-0.887659,1.9948,-9.75162,-0.839403,1.99474,-9.74986,-0.841313,3.45001,0.00145266,0.0163906,0.0020566,-0,1.5708,-0,1.5708,33.3339,5170.18,12.3936,1.73405,-1.85873,465.132,158.633,359.639,809.892,301.557,4.68512,169.402,19.1463,1.38792,35,0.350347,6.35035,-2.71889e-06,-0.006613,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
11255,0,1.97943,-9.84955,-0.887659,1.99278,-9.73638,-0.838896,1.99379,-9.73281,-0.838843,3.51043,0.000262714,0.0230965,0.00322638,-0,1.5708,-0,1.5708,33.4249,4698.19,12.8042,1.68372,-1.81372,467.241,166.114,365.115,810.878,175.926,0.32036,88.9696,16.6506,1.24052,35,0.393349,6.39335,7.82482e-08,0.000190317,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
11658,0,1.97943,-9.84955,-0.887659,1.99195,-9.72935,-0.841181,1.9925,-9.72472,-0.841315,3.63149,-0.000730873,0.0229005,0.00103995,-0,1.5708,-0,1.5708,33.5397,4849.95,13.3119,1.63424,-1.75234,470.71,167.601,361.118,794.596,134.239,1.69168,60.0124,12.8328,1.06623,35,0.501422,6.50142,9.68986e-07,0.0023568,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
12055,0,1.97943,-9.84955,-0.887659,1.99512,-9.7317,-0.842276,1.9936,-9.72552,-0.841458,3.76542,0.000512171,0.0158675,0.000522561,-0,1.5708,-0,1.5708,33.8123,4867.44,13.8019,1.60321,-1.71627,475.11,171.386,358.991,779.227,115.723,3.35145,18.6144,9.25825,0.705287,35,0.641016,6.64102,1.94134e-06,0.0047218,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
12465,0,1.97943,-9.84955,-0.887659,1.99557,-9.72401,-0.843178,1.99546,-9.71763,-0.844014,3.91224,0.00164512,0.0163987,-0.00122074,-0,1.5708,-0,1.5708,34.3274,4768.9,14.3391,1.58991,-1.70349,479.568,171.318,354.774,765.716,73.3978,3.52406,18.9138,6.5585,0.226164,35,0.780061,6.78006,2.04207e-06,0.00496679,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
12855,0,1.97943,-9.84955,-0.887659,1.98924,-9.71281,-0.860322,1.98971,-9.71126,-0.858688,4.04279,-0.00245155,0.0168,-0.0107901,-0,1.5708,-0,1.5708,34.3274,4761.44,14.407,1.58259,-1.69528,479.932,167.959,346.239,745.585,162.019,3.52406,83.5914,4.79932,0.226164,35,0.889815,6.88982,2.04207e-06,0.00496679,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
13275,0,1.97943,-9.84955,-0.887659,1.99249,-9.71856,-0.85725,1.99278,-9.71587,-0.861644,4.15548,2.48346e-06,0.00982848,-0.00968297,-0,1.5708,-0,1.5708,35.9607,4951.1,14.527,1.71975,-1.84814,482.763,171.628,352.694,758.282,130.751,6.88661,30.8856,5.00851,0.461459,35,1.01204,7.01204,4.00059e-06,0.00973049,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
13695,0,1.97943,-9.84955,-0.887659,1.99483,-9.71958,-0.8515,1.99453,-9.71618,-0.851895,4.2486,0.00120296,0.00677685,-0.000960991,-0,1.5708,-0,1.5708,36.1894,5236.69,14.7176,1.72237,-1.84364,484.175,177.313,355.722,755.357,42.3687,7.44755,0.107387,3.90243,0.707304,35,1.09767,7.09767,4.327e-06,0.0105244,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
14175,0,1.97943,-9.84955,-0.887659,1.99595,-9.7229,-0.84444,1.99829,-9.72191,-0.846418,4.32619,0.00225569,0.000662317,0.00384709,-0,1.5708,-0,1.5708,36.1894,5271.4,14.7577,1.7182,-1.83802,485.814,180.962,355.979,748.015,35.8851,7.44755,0.127248,2.9277,0.707304,35,1.17712,7.17712,4.327e-06,0.0105244,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
14465,0,1.97943,-9.84955,-0.887659,2.00153,-9.7253,-0.841107,2.00109,-9.72459,-0.84099,4.35378,0.00473384,-0.000946885,0.00565082,-0,1.5708,-0,1.5708,36.1894,5271.4,14.7577,1.7182,-1.83802,486.899,177.335,350.372,737.973,69.9304,7.44755,35.094,2.43318,0.707304,35,1.22493,7.22493,4.327e-06,0.0105244,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
14858,0,1.97943,-9.84955,-0.887659,2.00129,-9.72294,-0.841823,2.00167,-9.72331,-0.840878,4.37691,0.00401106,0.000172647,0.00429619,-0,1.5708,-0,1.5708,36.1894,5271.4,14.7577,1.7182,-1.83802,487.155,174.706,346.787,732.249,168.62,7.44755,56.5122,2.20727,0.707304,35,1.24838,7.24838,4.327e-06,0.0105244,-3.14118,0,-0,-3.14159,-1,480,180,360,-1
