Time,Sequence,world_x_gt,world_y_gt,world_z_gt,world_x_perception,world_y_perception,world_z_perception,world_x_kf,world_y_kf,world_z_kf,d_gt,v_x_kf,v_y_kf,v_z_kf,pitch_gt,yaw_gt,pitch_perception,yaw_perception,focal_length,focus_distance,aperture,dn,df,im_u,im_v_up,im_v_center,im_v_down,cost,Jp,Jim,JDoF,Jf,focal_length_d,dn_d,df_d,relative_pitch,relative_yaw,relative_pitch_d,relative_yaw_d,d_d,im_u_d,im_v_up_d,im_v_center_d,im_v_down_d
9652,0,1.97943,-9.84955,-0.887659,1.99454,-9.71458,-0.837835,1.99403,-9.71413,-0.834604,8.48218,-0.000140997,0.00142554,0.000360972,-0,1.5708,-0,1.5708,74.7275,3.88253e+08,13.8858,8.04289,-8.04292,471.529,171.55,352.413,757.545,199.835,1596.13,-nan,211498,1.09046e+06,75,7.84604,11.346,0.0148234,3.13463,-0,-3.14159,-1,480,180,360,-1
10042,0,1.97943,-9.84955,-0.887659,1.98234,-9.7148,-0.846775,1.98528,-9.72082,-0.839904,8.5614,-0.0079963,0.000237148,-0.00756853,-0,1.5708,-0,1.5708,74.9756,4.89285e+08,13.9931,8.0343,-8.03433,477.104,176.864,356.477,758.81,947.02,1638.45,-nan,219048,1.13546e+06,75,7.93198,11.432,0.0148237,3.13956,-0,-3.14159,-1,480,180,360,-1
10452,0,1.97943,-9.84955,-0.887659,1.99266,-9.71907,-0.853458,1.99094,-9.71881,-0.857087,8.62562,-0.00042368,-0.00122791,-0.0119055,-0,1.5708,-0,1.5708,73.4982,2.68849e+07,12.8838,8.38534,-8.38586,473.495,172.695,347.592,739.361,211.966,1680.63,-nan,226712,1.18046e+06,75,7.98873,11.4887,0.0148237,3.13997,-0,-3.14159,-1,480,180,360,-1
10852,0,1.97943,-9.84955,-0.887659,1.99224,-9.71671,-0.846461,1.99253,-9.71699,-0.851129,8.66878,0.000632022,0.000279977,-0.00440215,-0,1.5708,-0,1.5708,74.7867,3.65448e+08,13.2068,8.46983,-8.46987,468.354,179.521,356.504,752.945,187.524,1728.5,-nan,234466,1.22546e+06,75,8.03551,11.5355,0.0169204,3.14111,-0,-3.14159,-1,480,180,360,-1
11252,0,1.97943,-9.84955,-0.887659,1.99092,-9.72175,-0.839142,1.99009,-9.72183,-0.839241,8.69498,-0.000899867,-0.00290721,0.00430005,-0,1.5708,-0,1.5708,75.0224,9.66098e+08,13.4241,8.38533,-8.38535,472.516,169.487,346.435,742.797,250.01,1767.98,-nan,242273,1.27046e+06,75,8.06452,11.5645,0.0134431,-3.13784,-0,-3.14159,-1,480,180,360,-1
11652,0,1.97943,-9.84955,-0.887659,1.99613,-9.72117,-0.85284,1.99488,-9.72136,-0.850795,8.70546,0.00255501,-0.00189849,-0.00454341,-0,1.5708,-0,1.5708,75.2047,1.02631e+09,13.5704,8.33529,-8.3353,475.752,158.968,336.094,732.859,552.639,1808.56,-nan,250103,1.31546e+06,75,8.07667,11.5767,0.0130308,-3.13559,-0,-3.14159,-1,480,180,360,-1
12042,0,1.97943,-9.84955,-0.887659,1.99811,-9.72307,-0.858646,1.99934,-9.72321,-0.8574,8.71394,0.00448608,-0.0025935,-0.00805636,-0,1.5708,-0,1.5708,75.3941,4.5734e+09,13.6289,8.34136,-8.34137,474.856,164.515,341.885,739.194,367.137,1856.34,-nan,257951,1.36046e+06,75,8.08615,11.5862,0.0157127,-3.13539,-0,-3.14159,-1,480,180,360,-1
12452,0,1.97943,-9.84955,-0.887659,2.00076,-9.72422,-0.846317,2.0019,-9.72381,-0.849793,8.71793,0.00497677,-0.00258187,-0.000734175,-0,1.5708,-0,1.5708,76.0926,2.57142e+08,13.4523,8.60819,-8.60824,469.91,173.151,352.061,752.82,193.689,1907.57,-nan,265815,1.40546e+06,75,8.0909,11.5909,0.0174384,-3.13671,-0,-3.14159,-1,480,180,360,-1
12852,0,1.97943,-9.84955,-0.887659,2.00291,-9.72178,-0.854035,2.003,-9.72247,-0.853954,8.7192,0.00460766,-0.000994648,-0.00330129,-0,1.5708,-0,1.5708,75.405,8.35204e+08,13.6131,8.35348,-8.3535,468.929,169.327,346.615,743.739,313.231,1954.09,-nan,273673,1.45046e+06,75,8.09143,11.5914,0.0157486,-3.13685,-0,-3.14159,-1,480,180,360,-1
13252,0,1.97943,-9.84955,-0.887659,1.98972,-9.72084,-0.845263,1.9909,-9.72109,-0.848014,8.72051,-0.00475182,0.000201681,0.00181129,-0,1.5708,-0,1.5708,75.3135,9.94905e+08,13.6973,8.28195,-8.28196,471.332,172.481,349.557,746.209,220.219,2002.42,-nan,281531,1.49547e+06,75,8.09124,11.5912,0.0155426,-3.13449,-0,-3.14159,-1,480,180,360,-1
